"","UID","sex","left","right","TestR"
"240","377","M",2001-05-05,2011-08-24,"N"
"138","379","M",1999-04-15,2002-05-31,"N"
"241","379","M",2002-06-01,2007-09-25,"P"
"139","389","M",1995-04-15,2001-07-06,"N"
"244","389","M",2001-07-07,2006-06-18,"P"
"140","398","M",1992-04-15,2001-08-25,"N"
"245","398","M",2001-08-26,2005-06-01,"P"
"144","399","F",1996-04-15,2002-09-23,"N"
"246","399","F",2002-09-24,2003-05-20,"N"
"312","399","F",2003-05-21,2004-07-15,"N"
"43","399","F",2004-07-16,2004-10-02,"N"
"5","399","F",2004-10-03,2005-09-09,"N"
"145","400","M",1994-04-15,2001-08-29,"N"
